Receipt No.,Completion Time,Details,Transaction Status,Paid In,Withdrawn,Balance
TEJ1EQP7A9,2025-05-19 19:50:00.010,,Completed,,-250.0,0.0
TEJ1EQP7A9,2025-05-19 19:50:00.010,of Credit Party,Completed,250.0,,250.0
TEJ9EK8MHD,2025-05-19 19:25:00.019,,Completed,,-7.0,0.0
TEJ9EK8MHD,2025-05-19 19:25:00.019,,Completed,,-500.0,7.0
TEJ9EK8MHD,2025-05-19 19:25:00.019,of Credit Party,Completed,507.0,,507.0
TEJ3CALKE1,2025-05-19 11:42:00.000,,Completed,,-500.0,0.0
TEJ3CALKE1,2025-05-19 11:42:00.000,of Credit Party,Completed,500.0,,500.0
TEH83Y6G04,2025-05-17 14:35:00.010,,Completed,,-20.0,0.0
TEH83Y6G04,2025-05-17 14:35:00.010,,Completed,,-2500.0,20.0
TEH83Y6G04,2025-05-17 14:35:00.010,of Credit Party,Completed,372.95,,2520.0
TEH83Y4VME,2025-05-17 14:35:00.010,,Completed,2000.0,,2147.05
TEH72NZTNZ,2025-05-17 09:29:59.971,,Completed,,-10.0,147.05
TEH72NZTNZ,2025-05-17 09:29:59.971,,Completed,,-1000.0,157.05
TEG31P3LQR,2025-05-16 22:18:00.029,,Completed,,-78.0,1157.05
TEG31P3LQR,2025-05-16 22:18:00.029,,Completed,,-6000.0,1235.05
TEG31F4WPV,2025-05-16 21:08:00.038,,Completed,8000.0,,8000.0
TEG71F54TX,2025-05-16 21:08:00.038,,Completed,,-764.95,7235.05
TEG9Z5XCGN,2025-05-16 17:57:59.990,,Completed,,-1168.0,0.0
TEG9Z5XCGN,2025-05-16 17:57:59.990,of Credit Party,Completed,757.37,,1168.0
TEG2Z3WBS8,2025-05-16 17:48:59.990,,Completed,,-600.0,410.63
TEG0Z31QNW,2025-05-16 17:44:59.971,,Completed,,-100.0,1010.63
TEG3YZZDVZ,2025-05-16 17:30:00.029,,Completed,,-1889.37,1110.63
TEG8YZZCA2,2025-05-16 17:30:00.029,,Completed,3000.0,,3000.0
TEG8X6PFFE,2025-05-16 10:36:59.990,,Completed,,-30.0,0.0
TEG8X6PFFE,2025-05-16 10:36:59.990,of Credit Party,Completed,30.0,,30.0
TEF4UFW9U8,2025-05-15 17:57:59.990,,Completed,,-13.0,0.0
TEF4UFW9U8,2025-05-15 17:57:59.990,,Completed,,-630.0,13.0
TEF4UFW9U8,2025-05-15 17:57:59.990,of Credit Party,Completed,643.0,,643.0
TEE8ORAHIM,2025-05-14 14:03:59.990,,Completed,,-13.0,0.0
TEE8ORAHIM,2025-05-14 14:03:59.990,,Completed,,-1000.0,13.0
TEE8ORAHIM,2025-05-14 14:03:59.990,of Credit Party,Completed,1013.0,,1013.0
TEE8OR4U30,2025-05-14 14:03:00.029,,Completed,,-250.0,0.0
TEE8OR4U30,2025-05-14 14:03:00.029,of Credit Party,Completed,163.27,,250.0
TED8L1SC9W,2025-05-13 17:06:00.000,,Completed,,-650.0,86.73
TED4L1BB14,2025-05-13 17:03:00.029,,Completed,,-3.27,736.73
TED8L1B6HM,2025-05-13 17:03:00.029,,Completed,740.0,,740.0
TED3JEUU4B,2025-05-13 10:36:59.990,,Completed,,-13.0,0.0
TED3JEUU4B,2025-05-13 10:36:59.990,,Completed,,-1000.0,13.0
TED3JEUU4B,2025-05-13 10:36:59.990,of Credit Party,Completed,3.23,,1013.0
TEC0FDGU8S,2025-05-12 12:45:00.000,,Completed,,-13.0,1009.77
TEC0FDGU8S,2025-05-12 12:45:00.000,,Completed,,-1000.0,1022.77
TEB5CUSA0Z,2025-05-11 19:32:00.010,,Completed,,-53.0,2022.77
TEB5CUSA0Z,2025-05-11 19:32:00.010,,Completed,,-3000.0,2075.77
TEB0C2JMB4,2025-05-11 17:19:59.981,,Completed,6221.0,,6221.0
TEB3C2K0F9,2025-05-11 17:19:59.981,,Completed,,-1145.23,5075.77
TEB4A31CG2,2025-05-11 09:38:00.010,,Completed,,-1000.0,0.0
TEB4A31CG2,2025-05-11 09:38:00.010,of Credit Party,Completed,1000.0,,1000.0
TEA18102XH,2025-05-10 19:00:59.990,,Completed,,-7.0,0.0
TEA18102XH,2025-05-10 19:00:59.990,,Completed,,-360.0,7.0
TEA18102XH,2025-05-10 19:00:59.990,of Credit Party,Completed,133.89,,367.0
TEA37A13UR,2025-05-10 16:59:00.010,,Completed,,-12115.0,233.11
TEA279VKOG,2025-05-10 16:57:59.962,,Completed,6000.0,,12348.11
TEA76NXHA3,2025-05-10 14:51:00.000,,Completed,,-4800.0,6348.11
TEA36N0PLX,2025-05-10 14:46:00.019,,Completed,6700.0,,11148.11
TEA96CD02B,2025-05-10 13:41:59.971,,Completed,,-1551.89,4448.11
TEA86CCPQM,2025-05-10 13:41:59.971,,Completed,6000.0,,6000.0
TEA55KY3Y9,2025-05-10 10:47:00.038,,Completed,,-33.0,0.0
TEA55KY3Y9,2025-05-10 10:47:00.038,,Completed,,-2000.0,33.0
TEA55KY3Y9,2025-05-10 10:47:00.038,of Credit Party,Completed,1536.52,,2033.0
TE992KA7W3,2025-05-09 17:19:00.019,,Completed,,-7.0,496.48
TE992KA7W3,2025-05-09 17:19:00.019,,Completed,,-120.0,503.48
TE86X9Q5LW,2025-05-08 18:29:59.971,,Completed,,-7.0,623.48
TE86X9Q5LW,2025-05-08 18:29:59.971,,Completed,,-160.0,630.48
TE74QY1SP0,2025-05-07 12:58:00.019,,Completed,,-16.0,790.48
TE74QY1SP0,2025-05-07 12:58:00.019,Pay Bill Online to 505000 - OLD MUTUAL LIFE ASSURANCE KENYA LIMITED. Acc. OMU000329285,Completed,,-5000.0,806.48
TE75QXZC3V,2025-05-07 12:58:00.019,OD Loan Repayment to 232323 - M-PESA Overdraw,Completed,,-193.52,5806.48
TE72QXZF0I,2025-05-07 12:58:00.019,Transfer from Bank 517819 - IM BANK LIMITED- APP to Customer via API,Completed,6000.0,,6000.0
TE78Q4FVFC,2025-05-07 09:40:00.019,Merchant Payment Fuliza M-Pesa Online to 7188373 - PURE FRESH RONGAI STIMVAK,Completed,,-200.0,0.0
TE78Q4FVFC,2025-05-07 09:40:00.019,OverDraft of Credit Party,Completed,191.6,,200.0
TE64OQNF60,2025-05-06 20:44:00.010,OD Loan Repayment to 232323 - M-PESA Overdraw,Completed,,-91.6,8.4
TE66OQNMHE,2025-05-06 20:44:00.010,Funds received from - 07******038 hesborn otuko,Completed,100.0,,100.0
TE65OQ2HLZ,2025-05-06 20:41:00.038,Customer Transfer of Funds Charge,Completed,,-7.0,0.0
TE65OQ2HLZ,2025-05-06 20:41:00.038,Customer Transfer Fuliza MPesa to - 2547******595 SARAH MURIGI,Completed,,-440.0,7.0
TE65OQ2HLZ,2025-05-06 20:41:00.038,OverDraft of Credit Party,Completed,90.69,,447.0
TE42EN8AZC,2025-05-04 18:49:00.019,Merchant Payment Online to 178456 - QUICK MART RONGAI,Completed,,-3351.0,356.31
TE47EN6SE7,2025-05-04 18:49:00.019,Transfer from Bank 517819 - IM BANK LIMITED- APP to Customer via API,Completed,3000.0,,3707.31
TE35ARSCHB,2025-05-03 20:32:00.038,Merchant Payment Online to 7188373 - PURE FRESH RONGAI STIMVAK,Completed,,-200.0,707.31
TE3792UIC1,2025-05-03 15:53:00.038,Merchant Payment Online to 491847 -            JANDEE GENERAL STORES,Completed,,-100.0,907.31
TE202AMZ8S,2025-05-02 08:33:00.000,Pay Bill Charge,Completed,,-42.0,1007.31
TE202AMZ8S,2025-05-02 08:33:00.000,Pay Bill Online to 247247 - Equity Paybill Account Acc. 0510173643067,Completed,,-6000.0,1049.31
TE232AJSZ9,2025-05-02 08:33:00.000,Transfer from Bank 517819 - IM BANK LIMITED- APP to Customer via API,Completed,7000.0,,7049.31
TE10XSJY2E,2025-05-01 13:25:00.019,Customer Transfer of Funds Charge,Completed,,-7.0,49.31
TE10XSJY2E,2025-05-01 13:25:00.019,Customer Transfer to - 01******452 NAncy okoth,Completed,,-500.0,56.31
TDT2O8M6GG,2025-04-29 13:32:59.971,Merchant Payment Online to 5216942 - MAJID AL FUTTAIM HYPERMARKETS LTD,Completed,,-3546.0,556.31
TDT8O7O4D6,2025-04-29 13:27:00.029,Transfer from Bank 517819 - IM BANK LIMITED- APP to Customer via API,Completed,2000.0,,4102.31
TDT3O0G00X,2025-04-29 12:42:00.029,Merchant Payment Online to 110174 - Quick Mart Rongai Express,Completed,,-400.0,2102.31
TDT1NZXJ0B,2025-04-29 12:38:59.971,Transfer from Bank 517819 - IM BANK LIMITED- APP to Customer via API,Completed,3000.0,,3000.0
TDT3NZXJ0X,2025-04-29 12:38:59.971,OD Loan Repayment to 232323 - M-PESA Overdraw,Completed,,-497.69,2502.31
TDS5KO40ZH,2025-04-28 17:51:59.962,Merchant Payment Fuliza M-Pesa Online to 7188373 - PURE FRESH RONGAI STIMVAK,Completed,,-200.0,0.0
TDS5KO40ZH,2025-04-28 17:51:59.962,OverDraft of Credit Party,Completed,200.0,,200.0
TDS3IVR197,2025-04-28 11:26:59.971,Customer Transfer of Funds Charge,Completed,,-7.0,0.0
TDS3IVR197,2025-04-28 11:26:59.971,Customer Transfer Fuliza MPesa to - 01******452 NAncy okoth,Completed,,-500.0,7.0
TDS3IVR197,2025-04-28 11:26:59.971,OverDraft of Credit Party,Completed,292.76,,507.0
TDS6IHRGBM,2025-04-28 09:54:59.962,Pay Bill Charge,Completed,,-18.0,214.24
TDS6IHRGBM,2025-04-28 09:54:59.962,Pay Bill Online to 505000 - OLD MUTUAL LIFE ASSURANCE KENYA LIMITED. Acc. OMU000329285,Completed,,-15000.0,232.24
TDS1IFAQ0H,2025-04-28 09:38:00.010,OD Loan Repayment to 232323 - M-PESA Overdraw,Completed,,-1767.76,15232.24
TDS2IFAQS0,2025-04-28 09:38:00.010,Transfer from Bank 517819 - IM BANK LIMITED- APP to Customer via API,Completed,17000.0,,17000.0
TDP66D3CCU,2025-04-25 17:12:59.990,Customer Transfer of Funds Charge,Completed,,-13.0,0.0
TDP66D3CCU,2025-04-25 17:12:59.990,Customer Transfer Fuliza MPesa to - 2547******730 BENSON MAINA,Completed,,-1000.0,13.0
TDP66D3CCU,2025-04-25 17:12:59.990,OverDraft of Credit Party,Completed,1013.0,,1013.0
TDP46AZ81Y,2025-04-25 17:01:59.981,,Completed,,-1700.0,0.0
TDP46AZ81Y,2025-04-25 17:01:59.981,of Credit Party,Completed,694.48,,1700.0
TDP162YY41,2025-04-25 16:16:59.981,,Completed,,-80.0,1005.52
TDP162RE93,2025-04-25 16:14:59.971,,Completed,,-827.0,1085.52
TDP55ZO1KP,2025-04-25 15:56:59.971,,Completed,,-10.0,1912.52
TDP55ZO1KP,2025-04-25 15:56:59.971,,Completed,,-819.0,1922.52
TDP05VRPDO,2025-04-25 15:33:00.029,,Completed,,-23.0,2741.52
TDP05VRPDO,2025-04-25 15:33:00.029,,Completed,,-1480.0,2764.52
TDP35O55N1,2025-04-25 14:44:59.971,,Completed,,-6300.0,4244.52
TDP45144WI,2025-04-25 12:22:00.019,,Completed,12000.0,,12000.0
TDP9513XJN,2025-04-25 12:22:00.019,,Completed,,-1455.48,10544.52
TDP64UIB94,2025-04-25 11:37:59.981,,Completed,,-1000.0,0.0
TDP64UIB94,2025-04-25 11:37:59.981,of Credit Party,Completed,1000.0,,1000.0
TDO62UDIGC,2025-04-24 20:15:59.962,,Completed,,-200.0,0.0
TDO62UDIGC,2025-04-24 20:15:59.962,of Credit Party,Completed,200.0,,200.0
TDO42HS886,2025-04-24 19:25:00.019,,Completed,,-13.0,0.0
TDO42HS886,2025-04-24 19:25:00.019,,Completed,,-550.0,13.0
TDO42HS886,2025-04-24 19:25:00.019,of Credit Party,Completed,241.06,,563.0
TDN8VFMKPK,2025-04-23 14:21:59.990,,Completed,,-500.0,321.94
TDN4VEZ2FM,2025-04-23 14:17:00.010,,Completed,,-506.0,821.94
TDN3VCOR1X,2025-04-23 14:01:59.981,,Completed,,-7.0,1327.94
TDN3VCOR1X,2025-04-23 14:01:59.981,,Completed,,-240.0,1334.94
TDN2VCCYKI,2025-04-23 13:59:59.971,,Completed,,-1425.06,1574.94
TDN9VCCMPR,2025-04-23 13:59:59.971,,Completed,3000.0,,3000.0
TDL3M9PLD3,2025-04-21 12:56:59.971,,Completed,,-23.0,0.0
TDL3M9PLD3,2025-04-21 12:56:59.971,,Completed,,-1250.0,23.0
TDL3M9PLD3,2025-04-21 12:56:59.971,of Credit Party,Completed,1273.0,,1273.0
TDK9KBJJY1,2025-04-20 20:37:59.981,,Completed,,-200.0,0.0
TDK9KBJJY1,2025-04-20 20:37:59.981,of Credit Party,Completed,116.56,,200.0
TDJ3EEQBK3,2025-04-19 15:33:00.029,,Completed,,-500.0,83.44
TDJ2EEKIKQ,2025-04-19 15:31:59.981,,Completed,2000.0,,2000.0
TDJ5EEKP8T,2025-04-19 15:31:59.981,,Completed,,-1416.56,583.44
TDJ5EDXH53,2025-04-19 15:27:59.962,,Completed,,-1109.0,0.0
TDJ5EDXH53,2025-04-19 15:27:59.962,of Credit Party,Completed,1109.0,,1109.0
TDJ1ECN3M7,2025-04-19 15:18:59.962,,Completed,1555.0,,1555.0
TDJ5ECN4FH,2025-04-19 15:18:59.962,,Completed,,-1555.0,0.0
TDH350RDJJ,2025-04-17 15:26:00.038,,Completed,,-7.0,0.0
TDH350RDJJ,2025-04-17 00:00:00.000,,Completed,,-310.0,7.0
TDH350RDJJ,2025-04-17 00:00:00.000,of Credit,Completed,317.0,,317.0
TDH2424DP4,2025-04-17 00:00:00.000,,Completed,,-7.0,0.0
TDH2424DP4,2025-04-17 00:00:00.000,,Completed,,-160.0,7.0
TDH2424DP4,2025-04-17 00:00:00.000,of Credit,Completed,167.0,,167.0
TDH62ZXMNG,2025-04-17 00:00:00.000,,Completed,,-380.0,0.0
TDH62ZXMNG,2025-04-17 00:00:00.000,of Credit,Completed,380.0,,380.0
TDG61CKW2E,2025-04-16 00:00:00.000,,Completed,,-23.0,0.0
TDG61CKW2E,2025-04-16 00:00:00.000,,Completed,,-1150.0,23.0
TDG61CKW2E,2025-04-16 00:00:00.000,of Credit,Completed,969.13,,1173.0
TDG418TEZ2,2025-04-16 00:00:00.000,,Completed,,-80.0,203.87
TDG718LIOP,2025-04-16 00:00:00.000,,Completed,,-50.0,283.87
TDG617B124,2025-04-16 00:00:00.000,,Completed,,-380.0,333.87
TDG216CA5I,2025-04-16 00:00:00.000,,Completed,,-400.0,713.87
TDG411C0FU,2025-04-16 00:00:00.000,,Completed,,-1015.0,1113.87
TDG310GY75,2025-04-16 00:00:00.000,,Completed,,-1951.0,2128.87
TDG0101WTM,2025-04-16 00:00:00.000,,Completed,,-920.13,4079.87
TDG710276V,2025-04-16 00:00:00.000,,Completed,5000.0,,5000.0
TDG6ZT293S,2025-04-16 00:00:00.000,,Completed,,-5.0,0.0
TDG6ZT293S,2025-04-16 00:00:00.000,,Completed,,-450.0,5.0
TDG6ZT293S,2025-04-16 00:00:00.000,of Credit,Completed,455.0,,455.0
TDF9WE9TBJ,2025-04-15 00:00:00.000,,Completed,,-200.0,0.0
TDF9WE9TBJ,2025-04-15 00:00:00.000,of Credit,Completed,200.0,,200.0
TDE0OR7FUC,2025-04-14 00:00:00.000,,Completed,,-710.0,0.0
TDE0OR7FUC,2025-04-14 00:00:00.000,of Credit,Completed,256.01,,710.0
TDE0OR5XWO,2025-04-14 00:00:00.000,,Completed,,-1546.01,453.99
TDE6OR6310,2025-04-14 00:00:00.000,,Completed,2000.0,,2000.0
TDC0FQXWWW,2025-04-12 00:00:00.000,,Completed,,-100.0,0.0
TDC0FQXWWW,2025-04-12 00:00:00.000,of Credit,Completed,100.0,,100.0
TDC5FEOQY7,2025-04-12 00:00:00.000,,Completed,,-13.0,0.0
TDC5FEOQY7,2025-04-12 00:00:00.000,,Completed,,-600.0,13.0
TDC5FEOQY7,2025-04-12 00:00:00.000,of Credit,Completed,613.0,,613.0
TDA7870IF9,2025-04-10 00:00:00.000,,Completed,,-200.0,0.0
TDA7870IF9,2025-04-10 00:00:00.000,of Credit,Completed,200.0,,200.0
TDA47AT5JE,2025-04-10 00:00:00.000,,Completed,,-5.0,0.0
TDA47AT5JE,2025-04-10 00:00:00.000,,Completed,,-250.0,5.0
TDA47AT5JE,2025-04-10 00:00:00.000,of Credit,Completed,255.0,,255.0
TD87X1JDZV,2025-04-08 00:00:00.000,,Completed,,-250.0,0.0
TD87X1JDZV,2025-04-08 00:00:00.000,of Credit,Completed,250.0,,250.0
TD87X1293T,2025-04-08 16:16:59.981,,Completed,,-510.0,0.0
TD87X1293T,2025-04-08 16:16:59.981,of Credit Party,Completed,100.82,,510.0
TD59KQOYYB,2025-04-05 20:48:59.990,,Completed,,-7.0,409.18
TD59KQOYYB,2025-04-05 20:48:59.990,,Completed,,-190.0,416.18
TD57KQG8PH,2025-04-05 20:48:00.029,,Completed,,-200.0,606.18
TD48E0RP0C,2025-04-04 16:00:00.029,,Completed,,-30.0,806.18
TD40E0J75K,2025-04-04 15:58:00.019,,Completed,,-20.0,836.18
TD43DZAREJ,2025-04-04 15:51:00.029,,Completed,,-143.82,856.18
TD41DZACN3,2025-04-04 15:51:00.029,,Completed,1000.0,,1000.0
TD44DYROSS,2025-04-04 15:47:59.971,,Completed,,-65.0,0.0
TD44DYROSS,2025-04-04 15:47:59.971,of Credit Party,Completed,65.0,,65.0
TD47DY4HAT,2025-04-04 15:44:00.038,,Completed,,-500.0,0.0
TD47DY4HAT,2025-04-04 15:44:00.038,of Credit Party,Completed,77.39,,500.0
TD43D7J97N,2025-04-04 13:03:00.000,,Completed,,-60.0,422.61
TD40D7AV9K,2025-04-04 13:00:59.990,,Completed,,-600.0,482.61
TD43D74WVB,2025-04-04 13:00:00.029,,Completed,,-1917.39,1082.61
TD40D753K2,2025-04-04 13:00:00.029,,Completed,3000.0,,3000.0
TD388OAIYY,2025-04-03 14:12:00.029,,Completed,,-358.0,0.0
TD388OAIYY,2025-04-03 14:12:00.029,of Credit Party,Completed,358.0,,358.0
TD377W22I1,2025-04-03 11:15:00.000,,Completed,,-13.0,0.0
TD377W22I1,2025-04-03 11:15:00.000,,Completed,,-1000.0,13.0
TD377W22I1,2025-04-03 11:15:00.000,of Credit Party,Completed,1013.0,,1013.0
TD204YS9SW,2025-04-02 18:09:00.000,,Completed,,-7.0,0.0
TD204YS9SW,2025-04-02 18:09:00.000,,Completed,,-300.0,7.0
TD204YS9SW,2025-04-02 18:09:00.000,of Credit Party,Completed,307.0,,307.0
TD243KSBNY,2025-04-02 13:16:00.019,,Completed,,-7.0,0.0
TD243KSBNY,2025-04-02 13:16:00.019,,Completed,,-500.0,7.0
TD243KSBNY,2025-04-02 13:16:00.019,of Credit Party,Completed,220.4,,507.0
TD17YOJ4HT,2025-04-01 16:45:59.990,,Completed,,-42.0,286.6
TD17YOJ4HT,2025-04-01 16:45:59.990,,Completed,,-5010.0,328.6
TD13YOD4HL,2025-04-01 16:45:00.029,,Completed,,-42.0,5338.6
TD13YOD4HL,2025-04-01 16:45:00.029,,Completed,,-6000.0,5380.6
TD12YO75IO,2025-04-01 16:43:59.981,,Completed,,-199.4,11380.6
TD14YO737O,2025-04-01 16:43:59.981,,Completed,11580.0,,11580.0
TCV6TXGHVU,2025-03-31 16:27:00.029,,Completed,,-200.0,0.0
TCV6TXGHVU,2025-03-31 16:27:00.029,of Credit Party,Completed,197.42,,200.0
TCV6TDELCC,2025-03-31 14:19:59.981,,Completed,,-1700.0,2.58
TCV4TD8HOS,2025-03-31 14:19:00.019,,Completed,3000.0,,3000.0
TCV3TD8GCP,2025-03-31 14:19:00.019,,Completed,,-1297.42,1702.58
TCU2OFAB8E,2025-03-30 12:11:00.010,,Completed,,-3527.0,0.0
TCU2OFAB8E,2025-03-30 12:11:00.010,of Credit Party,Completed,1284.57,,3527.0
TCU8OF3ZQ0,2025-03-30 12:09:59.962,,Completed,3400.0,,3400.0
TCU5OF4ARF,2025-03-30 12:09:59.962,,Completed,,-1157.57,2242.43
TCU2OEYCSA,2025-03-30 12:09:00.000,,Completed,0.0,,0.0
TCT9KVL85J,2025-03-29 16:27:59.990,,Completed,,-70.0,0.0
TCT9KVL85J,2025-03-29 16:27:59.990,of Credit Party,Completed,70.0,,70.0
TCT3JZUOCN,2025-03-29 13:16:59.981,,Completed,,-57.0,0.0
TCT3JZUOCN,2025-03-29 13:16:59.981,,Completed,,-4000.0,57.0
TCT3JZUOCN,2025-03-29 13:16:59.981,of Credit Party,Completed,1076.1,,4057.0
TCS1GRTO4V,2025-03-28 18:27:59.962,,Completed,,-100.0,2980.9
TCR6CIOKJS,2025-03-27 19:18:59.990,,Completed,,-1556.0,3080.9
TCR3CHKOC3,2025-03-27 19:14:59.971,,Completed,,-1580.1,4636.9
TCR7CHJMJD,2025-03-27 19:14:59.971,,Completed,6217.0,,6217.0
TCR3A5G4R1,2025-03-27 10:50:00.010,,Completed,,-13.0,0.0
TCR3A5G4R1,2025-03-27 10:50:00.010,,Completed,,-1000.0,13.0
